X, Y
302, 387
291, 430
290, 425
244, 437
243, 438
288, 458
234, 435
290, 464
285, 461
274, 465
282, 429
280, 458
272, 427
275, 428
284, 414
279, 416
276, 419
257, 432
255, 424
255, 429
282, 443
297, 462
378, 474
386, 466
315, 465
321, 435
324, 438
332, 409
315, 383
346, 338
315, 330
371, 267
371, 222
364, 205
342, 158
334, 130
326, 115
323, 122
355, 193
350, 197
312, 104
313, 100
309, 102
313, 101
313, 102
321, 104
330, 107
341, 109
357, 110
347, 237
362, 240
417, 112
366, 251
383, 252
397, 265
402, 273
409, 283
404, 310
485, 353
529, 385
562, 418
570, 454
257, 478
294, 448
217, 362
217, 385
213, 366
219, 363
209, 358
210, 475
215, 466
347, 445
354, 422
343, 380
332, 342
326, 330
320, 305
316, 292
308, 278
294, 266
295, 264
288, 268
285, 273
275, 281
272, 295
271, 326
265, 338
344, 352
339, 376
275, 447
305, 405
308, 423
290, 417
287, 399
280, 418
281, 404
283, 408
256, 455
264, 464
276, 429
274, 440
290, 427
298, 475
219, 400
226, 416
236, 393
240, 399
216, 421
231, 399
198, 386
200, 386
235, 404
223, 408
232, 403
233, 408
235, 409
241, 394
252, 413
258, 410
251, 407
259, 405
260, 367
264, 365
270, 365
270, 392
276, 361
285, 363
288, 361
294, 361
301, 363
303, 363
306, 362
308, 362
309, 358
301, 355
305, 357
302, 358
